"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2015) - Extraction de pétrole brut (NAF rév. 2, niveau groupe, poste 06.1)";"Codes"
"idBank";"010537209";""
"Dernière mise à jour";"05/04/2022 08:45";""
"Période";"";""
"1994-01";"346.99";"A"
"1994-02";"341.9";"A"
"1994-03";"341.1";"A"
"1994-04";"335.22";"A"
"1994-05";"334.28";"A"
"1994-06";"341.25";"A"
"1994-07";"329.29";"A"
"1994-08";"328.95";"A"
"1994-09";"330.17";"A"
"1994-10";"318.05";"A"
"1994-11";"316.88";"A"
"1994-12";"309.77";"A"
"1995-01";"303.17";"A"
"1995-02";"302.06";"A"
"1995-03";"307.64";"A"
"1995-04";"299.2";"A"
"1995-05";"301.35";"A"
"1995-06";"303.71";"A"
"1995-07";"293.45";"A"
"1995-08";"296.94";"A"
"1995-09";"291.67";"A"
"1995-10";"294.61";"A"
"1995-11";"315.8";"A"
"1995-12";"279.88";"A"
"1996-01";"281.85";"A"
"1996-02";"263.45";"A"
"1996-03";"266.31";"A"
"1996-04";"268.61";"A"
"1996-05";"262.61";"A"
"1996-06";"257.04";"A"
"1996-07";"253.29";"A"
"1996-08";"249.24";"A"
"1996-09";"238.12";"A"
"1996-10";"228.82";"A"
"1996-11";"227.83";"A"
"1996-12";"222.4";"A"
"1997-01";"217.57";"A"
"1997-02";"222.98";"A"
"1997-03";"214.54";"A"
"1997-04";"214.43";"A"
"1997-05";"210.48";"A"
"1997-06";"205.03";"A"
"1997-07";"212.31";"A"
"1997-08";"206.98";"A"
"1997-09";"211.47";"A"
"1997-10";"213.43";"A"
"1997-11";"210.07";"A"
"1997-12";"215.11";"A"
"1998-01";"211.31";"A"
"1998-02";"211.28";"A"
"1998-03";"209.66";"A"
"1998-04";"206.99";"A"
"1998-05";"203.79";"A"
"1998-06";"201.31";"A"
"1998-07";"204.34";"A"
"1998-08";"199.67";"A"
"1998-09";"200.44";"A"
"1998-10";"198.87";"A"
"1998-11";"207.69";"A"
